Ciphertext,Ciphertext Length,Entropy,Hex Ratio,Base64 Ratio,Repetition Rate,Alphabetic Ratio,Numeric Ratio,Algorithm
/5sc23iDfMN2cPuYx3bWoYTgO7mSNfIBYAm7LDZO/BE=,44,4.851365993588126,0.4090909090909091,1.0,0.0,0.7727272727272727,0.1590909090909091,ChaCha20
v2ShlGq5T1ZfYBkObKcvlF+e83h61LoU4XuRPwQtx7CIHj7H+dJigs9a2UqxqMgJ,64,5.550704882778696,0.328125,1.0,0.0,0.78125,0.1875,AES
AIdlfJRWzy9vpyQERet/aLwnTyqa5AQC4e2f+if60YAyTirkbhz/yA==,56,5.050845493904031,0.375,1.0,0.01818181818181818,0.8035714285714286,0.10714285714285714,3DES
SKPe745hhwuYyNMzmbtSmJYdD15+adR+JgjN8HOu/R8l1Q4Jsy+N+ZGnwVJI/A0eDRZSY8P/KkwwzVtMULQwGyDp0TrYdLxTb2NpUl3KlkdsDVT8C9e+HnFZMKPDQd07jxuDOPXdxqZvrBLUmAz30mizkest90YDtueDUwTYcwOr3KbiYFUdm+itfzHr5+bnl279s4rBh0BTAfYm+6U/wggUBjimpCS5U49rgLBhjOjiDewOt5yX9X0DP0TUrQvQHCKrIZUvWXQ/lA4p6OCopri/frBixOXTSpAxvdgWjAlDWu/FXUBcbAsbX36wCbd/4OvfFkQhlG8bZ5P9EwzKtQ==,344,5.853918682630306,0.31976744186046513,1.0,0.011661807580174927,0.8168604651162791,0.1308139534883721,RSA
7J5maZmhUufwcpd9y2Yx0pULdxOI+7eoQ/JBTq5G0J2x5m3opwe7ow==,56,4.913799564605681,0.35714285714285715,1.0,0.01818181818181818,0.7142857142857143,0.21428571428571427,3DES
tspaD3DKp/hbuZL2qp59erUcivZgbFPo7aRnsn+HGgMBmss+92C9yNTueze0GlEQ,64,5.339614648336088,0.359375,1.0,0.015873015873015872,0.8125,0.140625,AES
ocyiBCV1DbtJVjv/u0ubbnfT0L+bTnW27UD4yPrEwZVB8HkUjiHXUw==,56,5.066108939837483,0.3392857142857143,1.0,0.03636363636363636,0.8035714285714286,0.125,3DES
bGMcipBkJoUI9BGA3Lscu3lNZWdWLYnqm4ns1BYuhtF2ooilANE01I8EgcdD3SLGqWhso+6tGNGSzR5p504HkAC2rGZpGMFJU3mBsOeZYOsOecw6/VITweV5MBXY43qNamF2t7cf2KJ9awgENRwbS1qcvNzIcDeQ1p/PmJH8rfIP0OrlsbWHpOQkgxgXtDGCo49lbId1n/239cTEE7xR4knJi3SS6cPwuiGcoJ2kltJ+ULejvkXIhZhiyZ/LSDnbvw0MF+CsFOFQBAuPi8Odl/umoYpBhJVEp89m2eHRe2czpKahGEU3BofQyx0nEkzXbFepEnuaI6IOKZp+57i1Dw==,344,5.903113402065807,0.36046511627906974,1.0,0.011661807580174927,0.8168604651162791,0.1511627906976744,RSA
7FHwZWaqFK5/4UK2PQxXVnvToM8rUgESHVfst77yb0Q=,44,5.078638720860853,0.3181818181818182,1.0,0.023255813953488372,0.7727272727272727,0.18181818181818182,ChaCha20
bdd15f1434dcf8c9a74171ade4c225a58f37420ee3ebf139bf57dfbd11a74c89,64,3.811638867995137,1.0,1.0,0.06349206349206349,0.4375,0.5625,SHA-256
38klI+rDavk3qt8SaSAFA5aIVoODDcAbmzH/doQ4fCEkQsLtTvIrrQ==,56,4.9629939842871735,0.39285714285714285,1.0,0.05454545454545454,0.8214285714285714,0.10714285714285714,Blowfish
3nZp405tQdV6c0EYs4sPd/LLcDbCs5uqPUMbzzKB/YsWDXiaA/LSgw==,56,5.101823225551768,0.375,1.0,0.05454545454545454,0.7678571428571429,0.14285714285714285,DES
rXigJIwegCic2eepF9y7q0m3Gn6paDHZs84EtB5qybdtGK5viAmSAQ==,56,5.2803946541231985,0.42857142857142855,1.0,0.03636363636363636,0.7857142857142857,0.17857142857142858,DES
LDla5f4cyI9DXGvI5NMUdip0SI3cU74x+cPePESxqFnBWck4i9zw8Q==,56,5.17325179698034,0.42857142857142855,1.0,0.01818181818181818,0.75,0.19642857142857142,DES
57a6504e6e2f6d766dab676670bb1c10750a5a78efe501af735a3cb53221194a,64,3.774400049709786,1.0,1.0,0.07936507936507936,0.34375,0.65625,SHA-256
OBtZ+RxKzZ49MRLLid6RSjEygPurnVelQ7e2xybypcU=,44,5.061482186720775,0.2727272727272727,1.0,0.023255813953488372,0.8409090909090909,0.11363636363636363,RC4
N9YLZ2j1EdsqUrH48LZErEmunNUPMRUcQgrk5Ey5lAyZ5l/yDCeSR1cMyrBruhbi,64,5.095714015923012,0.34375,1.0,0.0,0.84375,0.140625,AES
6a5j+r1osxcUfenF89+YWgsAvM89+aCJY3f4Sjiw/hWB1W6ehwsb2A==,56,5.088343091584564,0.44642857142857145,1.0,0.01818181818181818,0.6785714285714286,0.21428571428571427,DES
eywTVw7icQf6JPb95mhCzKgQSd2e5jb1mqhDdtUSoSODhAUc4Fgd0w==,56,5.110577243331645,0.42857142857142855,1.0,0.01818181818181818,0.8035714285714286,0.16071428571428573,DES
745HfY6cZyghd903F8Jrj3q3ozjlfgTlxjv5Q+vEU+Hs+xS2aneGFDtPkzbCMwX/,64,5.495864648336088,0.375,1.0,0.0,0.75,0.1875,AES
241521a6dbb46b1d5bc71128e6716487d8bfbf7599019ff741a631ac60758b3d,64,3.8208590315229953,1.0,1.0,0.06349206349206349,0.328125,0.671875,SHA-256
jmJHrTZcMWimHcy2aDes+ZoFY9LU1OAog8wV/QrjSJCsGK71DnVbaa/Osz7GnReZAO0jVJacpfQub1g0RP2GU5x80IdQ/MlnG4G4k/TiNJRT9ohdf0v+MwZwDScYF1a1geRkyv5ZJT93dLhce6wU+uzSbYxRETtVfn6fb9CPBncEZRCvvl6WMGSnsvi4lVBRHqDfwmWoX+FNc4JJOVMvXpxIx+L1SjRHvAKs+tAtW7TeAE17y7fexLtkEUNPWZhN2wPWKgBP04HEe5VBvXmkHcG0o1oJuUmG6SaC/tR3ObdYMeKo3E43v8/DHqbJSb0klDGxchX6k18YmjI4mD6vnQ==,344,5.920681871419504,0.35174418604651164,1.0,0.011661807580174927,0.8081395348837209,0.1511627906976744,RSA
5a5d6846ab9434ba0f1bae7b0017a637e3cd5c0e15ffcdad84d46796cbe39d23,64,3.91058164979857,1.0,1.0,0.031746031746031744,0.4375,0.5625,SHA-256
KvX4NH1dXXAg5HdNSqFH72yzj346fbi+E8vob+MwUG39d7fgURqhfz29g+kVIphAx6y2SQH8gp0oHTDQlt9yWutVJT7Vr3FVaiZ1QnpPuuCrBUpZIkNLWACOHOZ7T7EIoLp4YWEsiFGmF/0dQZdfONoeH6s5tjC/jdFN4KVNx9Mw60yyxQWVVaOIknwMyRgRfBkguyCnwEP2uIl5TtcxGNomhDanf9RcFbGg4wq77GAXn/oOJtiloGLJNMW5ofLGTTxzOCkMJylNcrocDcXBJxrhizS71arRFrhxfQBXOm5ElC9jut8V2iEf36YMDDb+LN2yELU/NLuToDC7bJ41Zg==,344,5.909396869406415,0.3372093023255814,1.0,0.023323615160349854,0.8226744186046512,0.14825581395348839,RSA
9xq1KDds0xuVPP6XOl4J20cw4QHUKLLju8FgJx7GH40=,44,4.862507470762513,0.36363636363636365,1.0,0.046511627906976744,0.7045454545454546,0.2727272727272727,ChaCha20
BLSy3iRoUj/jKdNkPWV++Pxm2ieX2jPn1qFlsjX3QuZ8OTlloDAmhMb3W/4QZeek,64,5.234069531114784,0.265625,1.0,0.047619047619047616,0.8125,0.125,AES
+vbxw1Y9NNMKNlnRDK839HuGwdnKrJO+C7sPbbYg2RU=,44,4.862507470762514,0.29545454545454547,1.0,0.046511627906976744,0.7727272727272727,0.1590909090909091,ChaCha20
RIvk18vCy8k2y/Oxns1X36U9j07ixsyDTEsWC2vjrmM=,44,4.817052925307968,0.3409090909090909,1.0,0.0,0.7045454545454546,0.25,ChaCha20
KvEn0+UhBT6ssbZlcPotAsJMf3nnGEZXdCfG2jCZKjF8PkksruwExw==,56,5.088343091584565,0.32142857142857145,1.0,0.07272727272727272,0.8571428571428571,0.08928571428571429,3DES
Gp/bmuELzd6cKI+eSyuiKwil8YTp05QsS2+0i2kAaKg=,44,4.970573095811684,0.3181818181818182,1.0,0.0,0.75,0.1590909090909091,RC4
7AwQYxvEs6tsi0mxcG+fteqX9MSE2+07/ab/U8ytiFmAdtDleRZnDw==,56,5.164497779200465,0.39285714285714285,1.0,0.01818181818181818,0.75,0.14285714285714285,Blowfish
4c1ef48af56985b4c7170831cc6a94185c2915a6e4a40c6476dd0b5264598004,64,3.80246157888382,1.0,1.0,0.047619047619047616,0.28125,0.71875,SHA-256
7+IuRXHw4H+lritNhMwrwvcaj5T+vPDXE6p1KkYuVXKFSyREgEm4Rg==,56,5.097097109364441,0.23214285714285715,1.0,0.01818181818181818,0.8035714285714286,0.10714285714285714,Blowfish
fWF6sb0l1TFq3MaCdhaQB0RDko34CfALfsxH/05ZwLo=,44,4.925118550357138,0.5227272727272727,1.0,0.0,0.75,0.20454545454545456,RC4
Qzqr2NsYPFi2XWwq/71CNYlBm/Kah8kuZbA0jXbC0Sw=,44,5.004886164091841,0.3409090909090909,1.0,0.0,0.7727272727272727,0.1590909090909091,ChaCha20
NwORENdeMKPD0HefpZTC4xSIlRk2dQCi/VjDm6OZqtA4L4za9EI0eA==,56,5.2089660826946265,0.4107142857142857,1.0,0.01818181818181818,0.8035714285714286,0.14285714285714285,Blowfish
qJuQ93YhVH2ddkT+ZvgHhLCZijXzNB7zO0I/EUGqZrNO6WXZ41cy+R/jCk/4S+rY,64,5.288909765557392,0.25,1.0,0.015873015873015872,0.765625,0.140625,AES
f8uvjOrqIR2myFNdCKH2jZXN5jWIRsGU1ZqD619eWYzkDehGOl2tSw==,56,5.2089660826946265,0.30357142857142855,1.0,0.01818181818181818,0.8035714285714286,0.16071428571428573,DES
RumuxmFJHt/2+EgCDMNB3LfJNPZxXfITPMG23eSmt/Q=,44,4.851365993588125,0.2727272727272727,1.0,0.0,0.8181818181818182,0.09090909090909091,ChaCha20
JZW5iWdupSFjBjKug39/pDGnjbrvlI21BQlxzr5cBjk=,44,4.896820539042672,0.3181818181818182,1.0,0.0,0.8181818181818182,0.13636363636363635,RC4
mxcF8QEcj1Rr6J3QuXyYLdnS35eONdqRi9M6hWaH3t8IUN7UdVbwtg==,56,5.316108939837484,0.375,1.0,0.01818181818181818,0.7678571428571429,0.19642857142857142,Blowfish
Mt+O/zU0rRdEOK2HEddSDsXaZnxYmZtBwcygMvIq3EFcBvaKp9M6sQ==,56,5.195485948727422,0.3392857142857143,1.0,0.03636363636363636,0.8392857142857143,0.08928571428571429,DES
PlpPLryF/j3GlEgX+LgU1kkJ5SijXqn96q4kb6/nUPI=,44,4.788754913993502,0.22727272727272727,1.0,0.023255813953488372,0.75,0.1590909090909091,ChaCha20
k/ZlY1/fnDDXHtdymkQ/JwiyYlGajqkmQ8cYMncqqas=,44,4.663532754804254,0.22727272727272727,1.0,0.046511627906976744,0.8636363636363636,0.045454545454545456,ChaCha20
vCWpbMs+BIBi4htIC5K+/T2lQJpPzaR3TKuI6MvMN9QmcczQ3iTYJA==,56,5.039148671903073,0.2857142857142857,1.0,0.03636363636363636,0.7857142857142857,0.125,3DES
fsEtU2DT9xRWNrMxgpsQtgd2sSE3Q+GITgApk4AR5Ms=,44,4.71500235722449,0.29545454545454547,1.0,0.0,0.8181818181818182,0.13636363636363635,ChaCha20
SHgUykTZx/sFTi1oVOVyU6F5tCURsnxveDPF2IODqwpUhw/Qi2eMnm8dVc5wiUtC,64,5.115168898701708,0.28125,1.0,0.0,0.859375,0.109375,AES
+3rLqiGNqAzyknHBCHkDXStrqRi4bxXgC3hx1y6FEY4=,44,4.896820539042671,0.3181818181818182,1.0,0.0,0.8181818181818182,0.13636363636363635,ChaCha20
eSwyw9lo0YXj8sI6567M8RqLrdF9BykrRxr2YFecpOWjLSiluEJ7pSOCY5RX8yQrAaobraSHVj7W19Er5bBuTcL+MfslFsYWA4YPgTJ8THxtR9J0VB6ukRcXwAaaTsVFeiG3u0AZDer0WRNMx95LZGCNtEFQ1xDrwEEzYNRL/OBIVRp9WczWLHaqhVT0oY4PK5pc+rxrtlJ2p9O/2pkGUGXH8N0ZNyeHdYqGhC3ZSRoJGpVfcTw3S8DyD73IzT1WVKSpO09TRYP6Psabux9Sxd22NvoF+wCTQ778x0w4XsRecYej0sXVNG+8CjB3BrgIj0Vba1u9lYwb2xiXT1yyCg==,344,5.817356103022267,0.36046511627906974,1.0,0.01749271137026239,0.7965116279069767,0.18023255813953487,RSA
K7CJ8QhCqKdLCHUmxf51pef7kfhfvKt5+o98wKPY4js=,44,4.805911448133582,0.4090909090909091,1.0,0.0,0.75,0.20454545454545456,RC4
VdLyojUigC/gBCWLudzLCwe68g7E4VEHfI1i34F4tB/q+lxBnnB5Wosjpeh0PWmxRb30FL+YdFGyMcuWsMns7wph9HD6EqQtiH8QZ6OQBFFbzjBts+N2wNl/ebpCtcXwzM5IJTTM59PnwK1Ozbp9Yd8RS16qNKq13UCd/DUrfLZUQFZEJupVHC0cEo3tQIZbI5J44XehoRI70en1kj3o/16J8FJQi2RX/CR3Fa3emn/DFrtd85XEMQsP2S53taakrLYPaFfFZGlrcnitwNoh9jcYWIlMjzcTbSK9u+7ibljkCyizqeDbAmOIqOwIAbGEh1Y2/Q86aFYnjnkv8M+L2Q==,344,5.911361587815717,0.38372093023255816,1.0,0.01749271137026239,0.7906976744186046,0.16569767441860464,RSA
X1F2gkM+2yeF8016XIFtpwQ8EiokJpc8Csw5mQfnndI=,44,4.834209459448047,0.4318181818181818,1.0,0.023255813953488372,0.7272727272727273,0.22727272727272727,ChaCha20
sEPp1OBIReMwTf0NTK8dsuEILTXrgbc+FvP1NDP151g=,44,4.834209459448048,0.38636363636363635,1.0,0.0,0.7954545454545454,0.1590909090909091,RC4
4H1QJ1dNVWqBUAHQgOKFHpafZ8JnxzAui/k/Q+Vld5Q=,44,4.896820539042673,0.29545454545454547,1.0,0.0,0.7954545454545454,0.11363636363636363,RC4
kzzegIu3ZJR1tIwlSlY8CkQrfOhFB6U3Tp5QDJd5tBOoiATtG5VyygDu2vA+LMQx,64,5.339614648336088,0.3125,1.0,0.031746031746031744,0.84375,0.140625,AES
8959d6cf3f16b9f3102a9db8ccd03ae885229ce18296c5b937afbfd39eba9478,64,3.8516060636920493,1.0,1.0,0.047619047619047616,0.40625,0.59375,SHA-256
b74de57b2ebe6fd4ff9f6a7585b8b74f7c629519ff4f956c0fb7e4fff67f0d3d,64,3.6547516059707066,1.0,1.0,0.06349206349206349,0.46875,0.53125,SHA-256
dWu9eCfBdS+HrJJNP3CQ6Dijo61vn0xf+xzrjzloFYW/KFZcqBstqP7ZAdf+/DEsp+EMC2pk54Le4ShND+vBEDHfYbaWqD0mQTD7qMdi+cswTIZ7jsyOKlgr5Mna2ViyDC2+1xnGGUnPp99Q9GEVPrCogySd9MEL3594kEMgKCIWYLGiqj8ciC413HCRsSHp+LwE0LMvoXkiQlzHYSkInEkfTH3VMfTFBCkq1L2ohJIEYVxOOXQCPqoKHeUpcZCtf1gQlm7pR9DhIz9b6Rh9EhiA8Ve/rDeIrWJz05l5+oGbYqWOl9DADOTLn77r6o74z9lqXYMd/16sqXKGU8/nIQ==,344,5.883449507407447,0.35755813953488375,1.0,0.01749271137026239,0.7965116279069767,0.1569767441860465,RSA
586dbe51dc2c736e7ffb5b0a36735892a71c791a7c93e0b1717549123d6bdbb3,64,3.835229102437745,1.0,1.0,0.031746031746031744,0.359375,0.640625,SHA-256
PUaSKgmRnqf7fcipK+4gIvmqF7kgKKyVZmHVGQM64OY=,44,4.834209459448047,0.22727272727272727,1.0,0.023255813953488372,0.8409090909090909,0.11363636363636363,ChaCha20
xMXq1cninOx59X0FgrY+jt9XgJ0w63Pw2b3ZeTEK6H+19fsvT9Tu0A==,56,5.088343091584564,0.39285714285714285,1.0,0.01818181818181818,0.6607142857142857,0.26785714285714285,Blowfish
R9GZ9ofmHbqt7Wbt1aZ1kDo+PZKbldigcWVlBCNPKSIgbqHPFN+PmQ==,56,4.936731930947545,0.30357142857142855,1.0,0.01818181818181818,0.8392857142857143,0.08928571428571429,DES
QbEo/Gi8I05RPFJ4OR5Y8mfvHuF8/4IUhM0d1uTjpNyB/BHv/y0zcnpVxRzVryJkakuchK288wAhlKDARQyWCX8I6cuZ0ppVfU1V4kqvE/eV+cOVieriNaflY+ot0mKwCJ7GmqALsVzHOr/yURPvMIleXaPrn4+sI4piccR/4BH3nv2doan5Cjf+SZ0/NwZZtymu8gMvE4Nx1OKEqIE4HvS/7EiYwNd12Nv9XbeiNrNavjUUHuOW30GtqF1PKuKKce92aJK/WNyNO4qjG8YnZm7gGei8fNJ4L8nbqVFZgQib3u5yWO68G+K+wlRWamvEzN2p9yJI8YjzbPw1zdxXXg==,344,5.86273858784321,0.31976744186046513,1.0,0.023323615160349854,0.7877906976744186,0.15988372093023256,RSA
